long_id	uniprot	mw	is_grouping	spectral_count	bait	condition
GST-part	GST	26	TRUE	3541	GST	GppNHp
Guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 2, isoform CRA_c OS=Homo sapiens GN=GNAI2 PE=2 SV=1	tr|B4E2X5|B4E2X5_HUMAN	35	TRUE	93	GST	GppNHp
Ras-related C3 botulinum toxin substrate 2 (Fragment) OS=Homo sapiens GN=RAC2 PE=3 SV=1	tr|B1AH78|B1AH78_HUMAN	19	TRUE	24	GST	GppNHp
Guanine nucleotide-binding protein G(t) subunit alpha-3 OS=Homo sapiens GN=GNAT3 PE=2 SV=2	sp|A8MTJ3|GNAT3_HUMAN	40	TRUE	0	GST	GppNHp
Trypsin precursor	gi|136429|sp|P00761|TRYP_PIG	24	TRUE	576	GST	GppNHp
Glutathione S-transferase P OS=Homo sapiens GN=GSTP1 PE=3 SV=1	tr|A8MX94|A8MX94_HUMAN	19	TRUE	443	GST	GppNHp
POTE ankyrin domain family member F OS=Homo sapiens GN=POTEF PE=1 SV=2	sp|A5A3E0|POTEF_HUMAN	121	TRUE	414	GST	GppNHp
Coronin OS=Homo sapiens GN=CORO1A PE=3 SV=1	tr|H3BRY3|H3BRY3_HUMAN	43	TRUE	312	GST	GppNHp
Outer membrane protein F OS=Escherichia coli GN=ompF PE=3 SV=1	tr|E2QJE0|E2QJE0_ECOLX	39	TRUE	0	GST	GppNHp
DNA-directed RNA polymerase OS=Escherichia coli GN=rpoC PE=3 SV=1	tr|C3SIA2|C3SIA2_ECOLX	155	TRUE	0	GST	GppNHp
Ras GTPase-activating protein 3 OS=Homo sapiens GN=RASA3 PE=2 SV=1	tr|F8W6X8|F8W6X8_HUMAN	92	TRUE	3	GST	GppNHp
Actin, alpha skeletal muscle OS=Homo sapiens GN=ACTA1 PE=3 SV=2	tr|A6NL76|A6NL76_HUMAN	32	TRUE	530	GST	GppNHp
Glutathione S-transferase Mu 1 OS=Homo sapiens GN=GSTM1 PE=4 SV=1	tr|B9ZVX7|B9ZVX7_HUMAN	17	TRUE	72	GST	GppNHp
Cell division protein FtsZ OS=Escherichia coli GN=ftsZ PE=3 SV=1	tr|C3TQK2|C3TQK2_ECOLX	40	NA	0	GST	GppNHp
Ankyrin repeat and BTB/POZ domain-containing protein BTBD11 OS=Homo sapiens GN=BTBD11 PE=2 SV=3	sp|A6QL63|BTBDB_HUMAN	121	NA	0	GST	GppNHp
Serum albumin OS=Homo sapiens GN=ALB PE=4 SV=1	tr|D6RHD5|D6RHD5_HUMAN (+1)	52	NA	36	GST	GppNHp
Heat shock cognate 71 kDa protein OS=Homo sapiens GN=HSPA8 PE=3 SV=1	tr|E9PKE3|E9PKE3_HUMAN	69	TRUE	149	GST	GppNHp
RAP1, GTP-GDP dissociation stimulator 1, isoform CRA_b OS=Homo sapiens GN=RAP1GDS1 PE=4 SV=1	tr|G5E9P9|G5E9P9_HUMAN	66	TRUE	0	GST	GppNHp
50S ribosomal protein L5 OS=Escherichia coli GN=rplE PE=3 SV=1	tr|C3SR02|C3SR02_ECOLX	20	NA	0	GST	GppNHp
Tubulin beta chain OS=Homo sapiens GN=TUBB PE=3 SV=1	tr|F8VYX6|F8VYX6_HUMAN	48	TRUE	69	GST	GppNHp
Ras-related C3 botulinum toxin substrate 2 OS=Homo sapiens GN=RAC2 PE=3 SV=1	tr|B1AH80|B1AH80_HUMAN	21	TRUE	0	GST	GppNHp
Filamin-A OS=Homo sapiens GN=FLNA PE=4 SV=2	tr|E9PHF0|E9PHF0_HUMAN	83	TRUE	126	GST	GppNHp
Guanylate kinase (Fragment) OS=Homo sapiens GN=GUK1 PE=4 SV=1	tr|B1ANH2|B1ANH2_HUMAN	28	TRUE	0	GST	GppNHp
Ras GTPase-activating-like protein IQGAP1 OS=Homo sapiens GN=IQGAP1 PE=4 SV=1	tr|H0YLE8|H0YLE8_HUMAN	125	TRUE	53	GST	GppNHp
Tubulin alpha-4A chain OS=Homo sapiens GN=TUBA4A PE=2 SV=1	tr|A8MUB1|A8MUB1_HUMAN	48	TRUE	55	GST	GppNHp
Actinin alpha 1 isoform 3 OS=Homo sapiens GN=ACTN1 PE=2 SV=1	tr|B7TY16|B7TY16_HUMAN	107	TRUE	141	GST	GppNHp
Carbonyl reductase 1, isoform CRA_c OS=Homo sapiens GN=CBR1 PE=2 SV=1	tr|B4DFK7|B4DFK7_HUMAN	19	TRUE	107	GST	GppNHp
Transcription termination factor Rho OS=Escherichia coli GN=rho PE=3 SV=1	tr|C3SKQ2|C3SKQ2_ECOLX	47	TRUE	0	GST	GppNHp
Actin, cytoplasmic 1 (Fragment) OS=Homo sapiens GN=ACTB PE=3 SV=1	tr|E7EVS6|E7EVS6_HUMAN	18	TRUE	359	GST	GppNHp
Protein RecA OS=Escherichia coli GN=recA PE=3 SV=1	tr|C3SY12|C3SY12_ECOLX	38	TRUE	0	GST	GppNHp
14-3-3 protein zeta/delta (Fragment) OS=Homo sapiens GN=YWHAZ PE=3 SV=1	tr|E7EX29|E7EX29_HUMAN	28	TRUE	18	GST	GppNHp
DNA-directed RNA polymerase subunit beta OS=Escherichia coli GN=rpoB PE=3 SV=1	tr|E2QJ13|E2QJ13_ECOLX	151	TRUE	0	GST	GppNHp
Actin-related protein 2 OS=Homo sapiens GN=ACTR2 PE=3 SV=1	tr|E9PF41|E9PF41_HUMAN	45	TRUE	88	GST	GppNHp
Rod shape-determining protein mreB OS=Escherichia coli GN=mreB PE=4 SV=1	tr|E2QES6|E2QES6_ECOLX	37	NA	0	GST	GppNHp
Filamin-A (Fragment) OS=Homo sapiens GN=FLNA PE=4 SV=2	tr|F8WE98|F8WE98_HUMAN	67	TRUE	83	GST	GppNHp
Glyceraldehyde-3-phosphate dehydrogenase OS=Homo sapiens GN=GAPDH PE=3 SV=1	tr|E7EUT4|E7EUT4_HUMAN	32	TRUE	10	GST	GppNHp
Ras-related protein Rap-1b (Fragment) OS=Homo sapiens GN=RAP1B PE=4 SV=1	tr|E7ESV4|E7ESV4_HUMAN (+1)	18	TRUE	5	GST	GppNHp
Magnesium-transporting ATPase, P-type 1 OS=Escherichia coli GN=mgtA PE=3 SV=1	tr|E2QL33|E2QL33_ECOLX	99	TRUE	0	GST	GppNHp
C4b-B OS=Homo sapiens GN=C4B PE=4 SV=1	tr|F8VNV9|F8VNV9_HUMAN	188	NA	31	GST	GppNHp
Spectrin alpha chain, non-erythrocytic 1 OS=Homo sapiens GN=SPTAN1 PE=4 SV=2	tr|A6NG51|A6NG51_HUMAN	285	TRUE	46	GST	GppNHp
Major outer membrane lipoprotein OS=Escherichia coli GN=lpp PE=3 SV=1	tr|C3T887|C3T887_ECOLX	8	NA	6	GST	GppNHp
Cofilin-1 OS=Homo sapiens GN=CFL1 PE=4 SV=1	tr|E9PK25|E9PK25_HUMAN	23	NA	72	GST	GppNHp
Rho-related GTP-binding protein RhoC (Fragment) OS=Homo sapiens GN=RHOC PE=3 SV=1	tr|E9PN11|E9PN11_HUMAN	25	TRUE	4	GST	GppNHp
Formate dehydrogenase-O, major subunit OS=Escherichia coli GN=fdoG PE=4 SV=1	tr|E2QIS5|E2QIS5_ECOLX	112	TRUE	0	GST	GppNHp
Glycerol kinase OS=Escherichia coli GN=glpK PE=3 SV=1	tr|E2QIV3|E2QIV3_ECOLX	56	NA	0	GST	GppNHp
Keratin, type II cytoskeletal 5 (Fragment) OS=Homo sapiens GN=KRT5 PE=4 SV=1	tr|F8W0C6|F8W0C6_HUMAN	21	TRUE	42	GST	GppNHp
Disks large homolog 1 OS=Homo sapiens GN=DLG1 PE=4 SV=1	tr|E7EWL7|E7EWL7_HUMAN	88	TRUE	0	GST	GppNHp
Obscurin OS=Homo sapiens GN=OBSCN PE=4 SV=1	REVtr|H3BPX2|H3BPX2_HUMAN	946	TRUE	1	GST	GppNHp
Outer membrane protein A OS=Escherichia coli GN=ompA PE=3 SV=1	tr|E2QJG1|E2QJG1_ECOLX	37	NA	0	GST	GppNHp
HEAT repeat-containing protein 5A OS=Homo sapiens GN=HEATR5A PE=4 SV=1	tr|F5H619|F5H619_HUMAN	223	TRUE	2	GST	GppNHp
Fatty acid oxidation complex subunit alpha OS=Escherichia coli GN=fadB PE=3 SV=1	tr|E2QI39|E2QI39_ECOLX	80	NA	0	GST	GppNHp
Pyruvate kinase (Fragment) OS=Homo sapiens GN=PKM PE=3 SV=1	tr|H3BTN5|H3BTN5_HUMAN	53	NA	88	GST	GppNHp
Synaptic vesicle membrane protein VAT-1 homolog OS=Homo sapiens GN=VAT1 PE=2 SV=1	tr|B4DPX4|B4DPX4_HUMAN	35	NA	12	GST	GppNHp
30S ribosomal protein S10 OS=Escherichia coli GN=rpsJ PE=3 SV=1	tr|C3SQT7|C3SQT7_ECOLX	12	TRUE	0	GST	GppNHp
Chaperone protein DnaJ OS=Escherichia coli GN=dnaJ PE=3 SV=1	tr|C3TRJ7|C3TRJ7_ECOLX	41	NA	0	GST	GppNHp
Actin, gamma-enteric smooth muscle OS=Homo sapiens GN=ACTG2 PE=3 SV=1	tr|E9PG30|E9PG30_HUMAN	37	TRUE	265	GST	GppNHp
Prohibitin OS=Homo sapiens GN=PHB PE=2 SV=1	tr|B4DY47|B4DY47_HUMAN	17	NA	0	GST	GppNHp
Fructose-bisphosphate aldolase OS=Homo sapiens GN=ALDOA PE=3 SV=1	tr|H3BQN4|H3BQN4_HUMAN	39	TRUE	51	GST	GppNHp
Nesprin-1 OS=Homo sapiens GN=SYNE1 PE=4 SV=1	tr|E9PEL9|E9PEL9_HUMAN	1005	TRUE	2	GST	GppNHp
Glyceraldehyde-3-phosphate dehydrogenase A OS=Escherichia coli GN=gapA PE=3 SV=1	tr|C3T6W2|C3T6W2_ECOLX	36	TRUE	0	GST	GppNHp
Isoform 3 of Laminin subunit beta-4 OS=Homo sapiens GN=LAMB4	REVsp|A4D0S4-3|LAMB4_HUMAN (+1)	189	NA	0	GST	GppNHp
Myosin-10 OS=Homo sapiens GN=MYH10 PE=4 SV=1	tr|F8VTL3|F8VTL3_HUMAN (+1)	233	TRUE	50	GST	GppNHp
Tropomyosin alpha-3 chain OS=Homo sapiens GN=TPM3 PE=4 SV=1	tr|D6R904|D6R904_HUMAN	11	TRUE	59	GST	GppNHp
Elongation factor Tu OS=Escherichia coli GN=tufB PE=3 SV=1	tr|E2QFJ4|E2QFJ4_ECOLX	43	TRUE	0	GST	GppNHp
tRNA(Met) cytidine acetyltransferase TmcA OS=Escherichia coli GN=ypfI PE=3 SV=1	tr|E2QPU9|E2QPU9_ECOLX	75	NA	0	GST	GppNHp
DNA damage-binding protein 1 OS=Homo sapiens GN=DDB1 PE=4 SV=1	tr|F5GY55|F5GY55_HUMAN	122	TRUE	19	GST	GppNHp
ATP synthase subunit beta OS=Escherichia coli GN=atpD PE=3 SV=1	tr|C3SLA7|C3SLA7_ECOLX	50	TRUE	0	GST	GppNHp
Cell division protein ftsA OS=Escherichia coli GN=ftsA PE=3 SV=1	tr|C3TQK7|C3TQK7_ECOLX	45	NA	0	GST	GppNHp
Alcohol dehydrogenase OS=Escherichia coli GN=yiaY PE=4 SV=1	REVtr|E2QGU9|E2QGU9_ECOLX	40	NA	6	GST	GppNHp
Ras GTPase-activating-like protein IQGAP2 (Fragment) OS=Homo sapiens GN=IQGAP2 PE=4 SV=1	tr|E7EWC2|E7EWC2_HUMAN	160	TRUE	4	GST	GppNHp
Collagen alpha-3(VI) chain OS=Homo sapiens GN=COL6A3 PE=4 SV=1	REVtr|E7ENL6|E7ENL6_HUMAN	322	TRUE	5	GST	GppNHp
ATP-binding cassette sub-family A member 2 OS=Homo sapiens GN=ABCA2 PE=3 SV=1	tr|E7EU84|E7EU84_HUMAN	223	TRUE	4	GST	GppNHp
Keratin, type II cytoskeletal 5 (Fragment) OS=Homo sapiens GN=KRT5 PE=3 SV=1	tr|H0YI76|H0YI76_HUMAN	23	TRUE	41	GST	GppNHp
Probable ATP-dependent RNA helicase DDX17 OS=Homo sapiens GN=DDX17 PE=3 SV=1	tr|H3BLZ8|H3BLZ8_HUMAN	80	TRUE	42	GST	GppNHp
Methionine synthase OS=Escherichia coli GN=metH PE=3 SV=1	tr|E2QJ40|E2QJ40_ECOLX	136	TRUE	0	GST	GppNHp
Talin-2 (Fragment) OS=Homo sapiens GN=TLN2 PE=4 SV=1	tr|H0YMT1|H0YMT1_HUMAN	155	TRUE	29	GST	GppNHp
Heat shock 70 kDa protein 1A/1B OS=Homo sapiens GN=HSPA1B PE=3 SV=1	tr|F8VZJ4|F8VZJ4_HUMAN	68	TRUE	50	GST	GppNHp
Keratin, type II cytoskeletal 1b OS=Homo sapiens GN=KRT77 PE=3 SV=1	tr|F5GY66|F5GY66_HUMAN	38	TRUE	5	GST	GppNHp
Capping protein (Actin filament) muscle Z-line, beta OS=Homo sapiens GN=CAPZB PE=4 SV=1	tr|B1AK87|B1AK87_HUMAN (+1)	29	NA	15	GST	GppNHp
Plastin-3 OS=Homo sapiens GN=PLS3 PE=2 SV=1	tr|B4DGB4|B4DGB4_HUMAN (+2)	69	TRUE	67	GST	GppNHp
Myosin-14 OS=Homo sapiens GN=MYH14 PE=4 SV=1	tr|G8JLL9|G8JLL9_HUMAN	232	TRUE	71	GST	GppNHp
