long_id	uniprot	mw	is_grouping	spectral_count	bait	condition	z_score_spectral
GST-part	GST	26	TRUE	3050	RasC	Normal	21.4009783163221
Ras-like protein rasG OS=Dictyostelium discoideum GN=rasG PE=1 SV=1	sp|P15064|RASG_DICDI	21	TRUE	2467	RasC	Normal	19.3343820793291
Glutathione S-transferase domain-containing protein OS=Dictyostelium discoideum GN=efa1G PE=4 SV=1	tr|B0G141|B0G141_DICDI	47	TRUE	1755	RasC	Normal	7.54121899718409
Trypsin precursor	gi|136429|sp|P00761|TRYP_PIG	24	NA	470	RasC	Normal	-1.00443571254346
Discoidin-1 subunit A OS=Dictyostelium discoideum GN=dscA-1 PE=1 SV=3	sp|P02886|DIS1A_DICDI	28	TRUE	477	RasC	Normal	3.20854812194407
Ras-like protein rasC OS=Dictyostelium discoideum GN=rasC PE=2 SV=1	sp|P32253|RASC_DICDI	21	TRUE	473	RasC	Normal	3.62346319655269
Putative glutathione S-transferase alpha-3 OS=Dictyostelium discoideum GN=gsta3 PE=1 SV=1	sp|Q54VI4|GSTA3_DICDI	24	NA	377	RasC	Normal	2.41861365297766
Elongation factor 1-beta OS=Dictyostelium discoideum GN=efa1B PE=1 SV=1	sp|Q9GRF8|EF1B_DICDI	24	NA	395	RasC	Normal	-0.573562365834512
Elongation factor 1-alpha OS=Dictyostelium discoideum GN=eef1a1 PE=1 SV=2	sp|P18624|EF1A_DICDI	50	NA	312	RasC	Normal	0.647245449840853
keratin 1, type II, cytoskeletal - human	gi|7428712|pir||KRHU2	65	TRUE	358	RasC	Normal	0.184455558931237
Discoidin-2 OS=Dictyostelium discoideum GN=dscE PE=1 SV=1	sp|P42530|DIS2_DICDI	29	TRUE	235	RasC	Normal	0.511600136988035
Keratin, type I cytoskeletal 10	gi|547749|sp|P13645|K1C10_HUMAN	60	TRUE	284	RasC	Normal	-0.182584699376389
Keratin, type II cytoskeletal 2 epidermal	gi|547754|sp|P35908|K22E_HUMAN	66	TRUE	258	RasC	Normal	-0.629416318185673
Putative uncharacterized protein darA OS=Dictyostelium discoideum GN=darA PE=4 SV=1	tr|O76187|O76187_DICDI	88	NA	230	RasC	Normal	1.76432449686406
Putative glutathione S-transferase alpha-2 OS=Dictyostelium discoideum GN=gsta2-1 PE=1 SV=1	sp|Q556G3|GSTA2_DICDI	23	NA	217	RasC	Normal	-1.49116301160358
Keratin, type I cytoskeletal 9	gi|81175178|sp|P35527|K1C9_HUMAN	62	TRUE	221	RasC	Normal	0.46372532068704
Heat shock cognate 70 kDa protein 1 OS=Dictyostelium discoideum GN=hspB PE=1 SV=2	sp|P36415|HS7C1_DICDI	70	TRUE	155	RasC	Normal	-1.09220620909529
Glyceraldehyde-3-phosphate dehydrogenase OS=Dictyostelium discoideum GN=gpdA PE=1 SV=2	sp|Q94469|G3P_DICDI	37	TRUE	99	RasC	Normal	0.36797568808505
Discoidin-1 subunit B/C OS=Dictyostelium discoideum GN=dscC-1 PE=1 SV=1	sp|P02887|DIS1B_DICDI	28	TRUE	482	RasC	Normal	3.15269416959291
Chaperone protein dnaK (Heat shock prote	sp|P0A6Y8|DNAK_ECOLI	69	TRUE	95	RasC	Normal	-0.0628976586239021
Putative glutathione S-transferase alpha-1 OS=Dictyostelium discoideum GN=gsta1 PE=1 SV=1	sp|Q55FF3|GSTA1_DICDI	23	NA	112	RasC	Normal	0.375954824135216
60 kDa chaperonin (Protein Cpn60) (groEL	sp|P0A6F5|CH60_ECOLI	57	NA	70	RasC	Normal	0.232330375232232
Sulfide:quinone oxidoreductase, mitochondrial OS=Dictyostelium discoideum GN=sqrdl PE=3 SV=1	sp|Q54DK1|SQRD_DICDI	50	TRUE	70	RasC	Normal	0.407871368335879
Gelation factor OS=Dictyostelium discoideum GN=abpC PE=1 SV=1	sp|P13466|GELA_DICDI	92	TRUE	78	RasC	Normal	-0.59749977398501
Elongation factor Tu (EF-Tu) (P-43).	sp|P0A6N1|EFTU_ECOLI	43	TRUE	60	RasC	Normal	0.336059143884387
Heat shock 70 kDa protein, mitochondrial OS=Dictyostelium discoideum GN=mhsp70 PE=1 SV=1	sp|Q8I0H7|HSP7M_DICDI	71	TRUE	60	RasC	Normal	-0.254396923827881
Probable ATP-citrate synthase OS=Dictyostelium discoideum GN=acly PE=1 SV=1	sp|Q54YA0|ACLY_DICDI	67	NA	59	RasC	Normal	0.280205191533227
Protein recA (Recombinase A).	sp|P0A7G6|RECA_ECOLI	38	NA	61	RasC	Normal	0.407871368335879
Protein PYR1-3 OS=Dictyostelium discoideum GN=pyr1-3 PE=1 SV=3	sp|P20054|PYR1_DICDI	246	NA	46	RasC	Normal	-0.126730747025228
Tubulin alpha chain OS=Dictyostelium discoideum GN=tubA PE=1 SV=1	sp|P32255|TBA_DICDI	51	TRUE	52	RasC	Normal	0.216372103131901
Probable polyketide synthase 16 OS=Dictyostelium discoideum GN=pks16 PE=2 SV=1	sp|Q869W9|PKS16_DICDI	291	NA	48	RasC	Normal	-0.549624957684015
Elongation factor G (EF-G).	sp|P0A6M8|EFG_ECOLI	77	TRUE	48	RasC	Normal	0.256267783382729
T-complex protein 1 subunit alpha OS=Dictyostelium discoideum GN=tcp1 PE=2 SV=1	sp|Q55BM4|TCPA_DICDI	59	NA	54	RasC	Normal	0.328080007834221
Cell division protein ftsZ.	sp|P0A9A6|FTSZ_ECOLI	40	NA	57	RasC	Normal	0.399892232285714
Tubulin beta chain OS=Dictyostelium discoideum GN=tubB PE=1 SV=2	sp|P32256|TBB_DICDI	51	NA	50	RasC	Normal	0.128601606580077
Alpha-actinin A OS=Dictyostelium discoideum GN=abpA PE=1 SV=2	sp|P05095|ACTNA_DICDI	97	NA	51	RasC	Normal	-1.52307955580424
DNA-directed RNA polymerase beta chain (	sp|P0A8V2|RPOB_ECOLI	151	NA	50	RasC	Normal	0.256267783382729
Elongation factor Tu, mitochondrial OS=Dictyostelium discoideum GN=tufm PE=1 SV=2	sp|Q54HB2|EFTU_DICDI	46	TRUE	52	RasC	Normal	-0.00704370627274154
Heat shock cognate 90 kDa protein OS=Dictyostelium discoideum GN=hspD PE=1 SV=2	sp|P54651|HSC90_DICDI	80	TRUE	43	RasC	Normal	-0.80495731128932
Elongation factor 2 OS=Dictyostelium discoideum GN=efbA PE=1 SV=2	sp|P15112|EF2_DICDI	93	TRUE	41	RasC	Normal	-0.812936447339486
Outer membrane protein F precursor (Pori	sp|P02931|OMPF_ECOLI	39	NA	42	RasC	Normal	0.136580742630243
DNA-directed RNA polymerase beta' chain	sp|P0A8T7|RPOC_ECOLI	155	NA	36	RasC	Normal	0.216372103131901
T-complex protein 1 subunit gamma OS=Dictyostelium discoideum GN=cct3 PE=1 SV=1	sp|Q54TH8|TCPG_DICDI	59	TRUE	41	RasC	Normal	0.208392967081735
Lysine-sensitive aspartokinase III (EC 2	sp|P08660|AK3_ECOLI	49	TRUE	47	RasC	Normal	0.304142599683724
Citrate synthase, mitochondrial OS=Dictyostelium discoideum GN=cs PE=3 SV=1	sp|Q553V1|CISYM_DICDI	51	NA	45	RasC	Normal	-0.246417787777715
Ras-related protein rapA OS=Dictyostelium discoideum GN=rapA PE=1 SV=1	sp|P18613|RAPA_DICDI	21	TRUE	31	RasC	Normal	0.0328519739780874
Probable malate dehydrogenase 2, mitochondrial OS=Dictyostelium discoideum GN=mdhB PE=3 SV=1	sp|Q54D04|MDHB_DICDI	38	TRUE	38	RasC	Normal	-0.477812733232523
50S ribosomal protein L6.	sp|P0AG55|RL6_ECOLI	19	NA	44	RasC	Normal	0.264246919432895
T-complex protein 1 subunit theta OS=Dictyostelium discoideum GN=cct8 PE=3 SV=1	sp|Q552J0|TCPQ_DICDI	59	TRUE	37	RasC	Normal	0.208392967081735
V-type proton ATPase subunit B OS=Dictyostelium discoideum GN=vatB PE=1 SV=1	sp|Q76NU1|VATB_DICDI	55	TRUE	41	RasC	Normal	-0.254396923827881
Dihydrolipoyl dehydrogenase (EC 1.8.1.4)	sp|P0A9P0|DLDH_ECOLI	51	NA	41	RasC	Normal	0.264246919432895
Chaperone clpB (Heat-shock protein F84.1	sp|P63284|CLPB_ECOLI	96	TRUE	34	RasC	Normal	0.144559878680408
LIM domain-containing protein E OS=Dictyostelium discoideum GN=limE PE=1 SV=1	sp|O60952|LIME_DICDI	22	NA	40	RasC	Normal	0.168497286830906
Lysyl-tRNA synthetase OS=Dictyostelium discoideum GN=lysS PE=1 SV=1	tr|Q54TY4|Q54TY4_DICDI	62	TRUE	35	RasC	Normal	0.0966850623794137
4-hydroxyphenylpyruvate dioxygenase OS=Dictyostelium discoideum GN=hpd PE=1 SV=1	sp|Q76NV5|HPPD_DICDI	42	NA	31	RasC	Normal	-0.126730747025228
DEAD/DEAH box helicase domain-containing protein (Fragment) OS=Dictyostelium discoideum GN=ifdA PE=1 SV=1	tr|P90529|P90529_DICDI	44	NA	39	RasC	Normal	0.0408311100282532
Glycerol kinase (EC 2.7.1.30) (ATP:glyce	sp|P0A6F3|GLPK_ECOLI	56	TRUE	39	RasC	Normal	0.256267783382729
Glutamate dehydrogenase, mitochondrial OS=Dictyostelium discoideum GN=gluD PE=1 SV=1	sp|Q54KB7|DHE3_DICDI	55	TRUE	39	RasC	Normal	0.00891456582759003
Cell division cycle protein 48 OS=Dictyostelium discoideum GN=cdcD PE=2 SV=2	tr|P90532|P90532_DICDI	89	NA	32	RasC	Normal	-0.677291134486668
T-complex protein 1 subunit delta OS=Dictyostelium discoideum GN=cct4 PE=3 SV=1	sp|Q54CL2|TCPD_DICDI	57	TRUE	33	RasC	Normal	0.192434694981403
Heat shock cognate 70 kDa protein 2 OS=Dictyostelium discoideum GN=hspE-1 PE=1 SV=1	sp|Q557E0|HS7C2_DICDI	70	TRUE	85	RasC	Normal	-1.0203939846438
V-type proton ATPase catalytic subunit A OS=Dictyostelium discoideum GN=vatA PE=1 SV=2	sp|P54647|VATA_DICDI	68	NA	32	RasC	Normal	-0.270355195928212
Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial OS=Dictyostelium discoideum GN=DDB_G0283293 PE=3 SV=1	sp|Q54RA2|AL4A1_DICDI	62	TRUE	32	RasC	Normal	-0.0628976586239021
Outer membrane protein A precursor (Oute	sp|P0A910|OMPA_ECOLI	37	NA	30	RasC	Normal	0.0727476542289163
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0215290 PE=4 SV=1	tr|Q54XF3|Q54XF3_DICDI	34	NA	29	RasC	Normal	0.136580742630243
Dihydrolipoyllysine-residue acetyltransf	sp|P06959|ODP2_ECOLI	66	TRUE	29	RasC	Normal	0.128601606580077
Bifunctional purine biosynthesis protein purH OS=Dictyostelium discoideum GN=purH PE=1 SV=1	sp|Q86L14|PUR9_DICDI	59	NA	34	RasC	Normal	-0.214501243577052
Putative aldehyde dehydrogenase family 7 member A1 homolog OS=Dictyostelium discoideum GN=DDB_G0276821 PE=3 SV=2	sp|P83401|AL7A1_DICDI	55	NA	28	RasC	Normal	-0.310250876179041
Pyruvate dehydrogenase E1 component subunit alpha, mitochondrial OS=Dictyostelium discoideum GN=pdhA PE=1 SV=1	sp|Q54C70|ODPA_DICDI	42	NA	19	RasC	Normal	0.0168937018777558
Adenylyl cyclase-associated protein OS=Dictyostelium discoideum GN=cap PE=1 SV=1	sp|P54654|CAP_DICDI	50	TRUE	28	RasC	Normal	-0.158647291225891
Dynein heavy chain, cytoplasmic OS=Dictyostelium discoideum GN=dhcA PE=1 SV=2	sp|P34036|DYHC_DICDI	540	NA	22	RasC	Normal	-0.0389602504734047
T-complex protein 1 subunit epsilon OS=Dictyostelium discoideum GN=cct5 PE=3 SV=1	sp|Q54TD3|TCPE_DICDI	59	NA	25	RasC	Normal	0.144559878680408
Acetylornithine deacetylase OS=Dictyostelium discoideum GN=argE PE=1 SV=2	sp|P54638|ARGE_DICDI	49	NA	27	RasC	Normal	-0.35014655642987
Transketolase OS=Dictyostelium discoideum GN=tkt-1 PE=1 SV=1	sp|Q556J0|TKT_DICDI	72	NA	22	RasC	Normal	-0.50175014138302
Fatty acyl-CoA synthetase A OS=Dictyostelium discoideum GN=fcsA PE=1 SV=1	sp|Q55DR6|FCSA_DICDI	75	NA	22	RasC	Normal	-0.158647291225891
Glutathione S-transferase (EC 2.5.1.18).	sp|P0A9D2|GST_ECOLI	23	NA	22	RasC	Normal	0.120622470529911
Formate acetyltransferase 1 (EC 2.3.1.54	sp|P09373|PFLB_ECOLI	85	NA	25	RasC	Normal	0.120622470529911
Alanyl-tRNA synthetase (EC 6.1.1.7) (Ala	sp|P00957|SYA_ECOLI	96	TRUE	24	RasC	Normal	0.136580742630243
26S proteasome non-ATPase regulatory subunit 3 OS=Dictyostelium discoideum GN=psmD3 PE=1 SV=1	sp|Q1ZXD3|PSMD3_DICDI	57	NA	26	RasC	Normal	0.0887059263292479
Glyceraldehyde-3-phosphate dehydrogenase	sp|P0A9B2|G3P1_ECOLI	35	TRUE	37	RasC	Normal	0.168497286830906
Annexin A7 OS=Dictyostelium discoideum GN=nxnA PE=1 SV=1	sp|P24639|ANXA7_DICDI	51	NA	19	RasC	Normal	-0.318230012229207
Polyribonucleotide nucleotidyltransferas	sp|P05055|PNP_ECOLI	77	NA	20	RasC	Normal	0.104664198429579
Rod shape-determining protein mreB.	sp|P0A9X4|MREB_ECOLI	37	NA	24	RasC	Normal	0.136580742630243
Clathrin heavy chain OS=Dictyostelium discoideum GN=chcA PE=1 SV=1	sp|P25870|CLH_DICDI	194	TRUE	17	RasC	Normal	-0.382063100630534
Talin-A OS=Dictyostelium discoideum GN=talA PE=1 SV=3	sp|P54633|TALA_DICDI	268	NA	22	RasC	Normal	0.0567893821285848
Phosphoenolpyruvate carboxykinase [ATP] OS=Dictyostelium discoideum GN=pckA PE=1 SV=1	sp|Q75JD5|PCKA_DICDI	63	NA	25	RasC	Normal	-0.0868350667743994
Glucose-6-phosphate 1-dehydrogenase OS=Dictyostelium discoideum GN=g6pd-1 PE=3 SV=1	sp|Q557D2|G6PD_DICDI	57	NA	21	RasC	Normal	-0.262376059878047
ATP synthase subunit alpha, mitochondrial OS=Dictyostelium discoideum GN=atp1 PE=3 SV=1	sp|Q9XPJ9|ATPAM_DICDI	57	TRUE	24	RasC	Normal	-0.262376059878047
26S proteasome non-ATPase regulatory subunit 1 OS=Dictyostelium discoideum GN=psmD1 PE=1 SV=1	sp|Q54JM5|PSMD1_DICDI	108	NA	22	RasC	Normal	0.0567893821285848
Dihydrolipoyl dehydrogenase, mitochondrial OS=Dictyostelium discoideum GN=lpd PE=3 SV=1	sp|Q54EW8|DLDH_DICDI	52	NA	25	RasC	Normal	-0.158647291225891
Trigger factor (TF).	sp|P0A850|TIG_ECOLI	48	NA	23	RasC	Normal	0.128601606580077
Isocitrate dehydrogenase [NADP], mitochondrial OS=Dictyostelium discoideum GN=idhM PE=3 SV=1	sp|Q75JR2|IDHP_DICDI	48	TRUE	22	RasC	Normal	-0.302271740128876
2-oxoglutarate dehydrogenase, mitochondrial OS=Dictyostelium discoideum GN=ogdh PE=3 SV=1	sp|Q54JE4|ODO1_DICDI	114	TRUE	23	RasC	Normal	-0.35014655642987
Myosin IE heavy chain OS=Dictyostelium discoideum GN=myoE PE=1 SV=2	sp|Q03479|MYOE_DICDI	115	TRUE	22	RasC	Normal	0.0887059263292479
60 kDa heat shock protein, mitochondrial OS=Dictyostelium discoideum GN=hspA PE=2 SV=1	sp|Q54J97|CH60_DICDI	60	TRUE	23	RasC	Normal	-0.102793338874731
Myosin IC heavy chain OS=Dictyostelium discoideum GN=myoC PE=4 SV=2	sp|P42522|MYOC_DICDI	133	TRUE	20	RasC	Normal	0.0567893821285848
S-adenosylmethionine synthetase OS=Dictyostelium discoideum GN=metK PE=1 SV=1	sp|Q54F07|METK_DICDI	42	NA	20	RasC	Normal	-0.278334331978378
Inosine-5'-monophosphate dehydrogenase OS=Dictyostelium discoideum GN=impdh PE=2 SV=1	sp|Q54QQ0|IMDH_DICDI	56	NA	18	RasC	Normal	-0.254396923827881
Putative D-lactate dehydrogenase OS=Dictyostelium discoideum GN=ldhA PE=1 SV=1	sp|Q54UF7|LDHD_DICDI	38	NA	22	RasC	Normal	-0.0230019783730731
Glutamate dehydrogenase 2 OS=Dictyostelium discoideum GN=glud2 PE=1 SV=2	sp|Q54VI3|GLUD2_DICDI	117	NA	24	RasC	Normal	-0.844852991540149
Adenosylhomocysteinase OS=Dictyostelium discoideum GN=sahA PE=1 SV=2	sp|P10819|SAHH_DICDI	47	NA	21	RasC	Normal	-0.278334331978378
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_G0282815 PE=1 SV=1	tr|Q54RZ4|Q54RZ4_DICDI	32	TRUE	21	RasC	Normal	-0.326209148279373
DNA gyrase subunit B (EC 5.99.1.3).	sp|P0AES6|GYRB_ECOLI	90	NA	15	RasC	Normal	0.0408311100282532
Nucleoside diphosphate kinase, cytosolic OS=Dictyostelium discoideum GN=ndkC-1 PE=1 SV=1	sp|P22887|NDKC_DICDI	17	NA	19	RasC	Normal	-0.246417787777715
Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial OS=Dictyostelium discoideum GN=odhB PE=1 SV=1	sp|Q869Y7|ODO2_DICDI	48	NA	24	RasC	Normal	-0.0230019783730731
Myosin-2 heavy chain OS=Dictyostelium discoideum GN=mhcA PE=1 SV=3	sp|P08799|MYS2_DICDI	244	TRUE	19	RasC	Normal	-0.286313468028544
Translational activator gcn1 OS=Dictyostelium discoideum GN=gcn1l1 PE=3 SV=1	sp|Q54WR2|GCN1L_DICDI	299	TRUE	18	RasC	Normal	-0.0389602504734047
60S ribosomal protein L4 OS=Dictyostelium discoideum GN=rpl4 PE=1 SV=1	sp|Q54Z69|RL4_DICDI	40	TRUE	17	RasC	Normal	-0.429937916931528
Major vault protein alpha OS=Dictyostelium discoideum GN=mvpA PE=1 SV=1	sp|P34118|MVPA_DICDI	94	TRUE	18	RasC	Normal	-0.613458046085341
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0188843 PE=4 SV=1	tr|Q54G77|Q54G77_DICDI	65	NA	18	RasC	Normal	0.0408311100282532
Putative bifunctional amine oxidase DDB_G0291301 OS=Dictyostelium discoideum GN=DDB_G0291301 PE=1 SV=1	sp|Q54EW2|Y9130_DICDI	121	NA	13	RasC	Normal	-0.19854297147672
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_G0277615 PE=1 SV=1	tr|Q75JY8|Q75JY8_DICDI	56	NA	17	RasC	Normal	-0.126730747025228
Mitochondrial substrate carrier family protein ancA OS=Dictyostelium discoideum GN=ancA PE=1 SV=1	sp|O97470|ADT_DICDI	33	NA	18	RasC	Normal	-0.469833597182357
Cathepsin D OS=Dictyostelium discoideum GN=ctsD PE=1 SV=1	sp|O76856|CATD_DICDI	41	NA	25	RasC	Normal	0.0727476542289163
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0205386 PE=1 SV=1	tr|Q54YA2|Q54YA2_DICDI	50	NA	20	RasC	Normal	0.0328519739780874
Propionyl-CoA carboxylase OS=Dictyostelium discoideum GN=pccA PE=4 SV=1	tr|Q553S7|Q553S7_DICDI	80	NA	18	RasC	Normal	-0.0948142028245652
Coronin OS=Dictyostelium discoideum GN=corA PE=1 SV=2	sp|P27133|CORO_DICDI	49	NA	21	RasC	Normal	-0.158647291225891
60S ribosomal protein L13a OS=Dictyostelium discoideum GN=rpl13a PE=3 SV=1	sp|Q553M7|RL13A_DICDI	21	NA	15	RasC	Normal	-0.0230019783730731
Zinc finger, N-recognin domain-containing protein OS=Dictyostelium discoideum GN=DDB_0215923 PE=4 SV=1	tr|Q54JV0|Q54JV0_DICDI	183	TRUE	17	RasC	Normal	-0.00704370627274154
40S ribosomal protein S5 OS=Dictyostelium discoideum GN=rps5 PE=3 SV=1	sp|Q54MA6|RS5_DICDI	21	NA	16	RasC	Normal	-0.0948142028245652
Putative uncharacterized protein adprt1A OS=Dictyostelium discoideum GN=adprt1A PE=4 SV=1	tr|Q54XI2|Q54XI2_DICDI (+1)	107	NA	21	RasC	Normal	0.0966850623794137
Pyruvate dehydrogenase E1 component (EC	sp|P0AFG8|ODP1_ECOLI	100	NA	20	RasC	Normal	0.0727476542289163
30S ribosomal protein S4.	sp|P0A7V8|RS4_ECOLI	23	TRUE	16	RasC	Normal	0.0647685181787506
Succinyl-CoA ligase [GDP-forming] subunit beta, mitochondrial OS=Dictyostelium discoideum GN=scsB PE=3 SV=1	sp|Q869S7|SUCB2_DICDI	46	NA	23	RasC	Normal	0.0408311100282532
ATP synthase subunit beta, mitochondrial OS=Dictyostelium discoideum GN=atp5b PE=1 SV=1	sp|Q55CS9|ATPB_DICDI	71	NA	15	RasC	Normal	-1.3236011545501
40S ribosomal protein S3 OS=Dictyostelium discoideum GN=rps3 PE=2 SV=1	sp|P90526|RS3_DICDI	24	NA	22	RasC	Normal	-0.150668155175726
Phosphoribosylformylglycinamidine synthase OS=Dictyostelium discoideum GN=purL PE=3 SV=1	sp|Q54JC8|PUR4_DICDI	150	TRUE	18	RasC	Normal	-0.565583229784347
50S ribosomal protein L3.	sp|P60438|RL3_ECOLI	22	NA	18	RasC	Normal	0.0887059263292479
Bifunctional protein argC, mitochondrial OS=Dictyostelium discoideum GN=argC PE=1 SV=1	sp|Q54M18|ARG56_DICDI	93	TRUE	15	RasC	Normal	-0.0788559307242336
DNA damage-binding protein 1 OS=Dictyostelium discoideum GN=repE PE=1 SV=1	sp|B0M0P5|DDB1_DICDI	132	NA	17	RasC	Normal	-0.342167420379705
ATP synthase alpha chain (EC 3.6.3.14).	sp|P0ABB0|ATPA_ECOLI	55	TRUE	22	RasC	Normal	0.120622470529911
Aspartyl-tRNA synthetase, cytoplasmic 1 OS=Dictyostelium discoideum GN=aspS1 PE=3 SV=1	sp|Q75JQ1|SYDC1_DICDI	65	NA	19	RasC	Normal	-0.158647291225891
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0188084 PE=4 SV=1	tr|Q54II1|Q54II1_DICDI	74	NA	17	RasC	Normal	-0.00704370627274154
26S proteasome non-ATPase regulatory subunit 2 OS=Dictyostelium discoideum GN=psmD2 PE=2 SV=1	sp|Q54BC6|PSMD2_DICDI	98	NA	16	RasC	Normal	-0.174605563326223
Vesicle-fusing ATPase OS=Dictyostelium discoideum GN=nsfA PE=1 SV=1	sp|Q75JI3|NSF_DICDI	82	NA	17	RasC	Normal	0.00891456582759003
Catalase-A OS=Dictyostelium discoideum GN=catA PE=2 SV=2	sp|O77229|CATA_DICDI	56	NA	17	RasC	Normal	-0.174605563326223
50S ribosomal protein L5.	sp|P62399|RL5_ECOLI	20	NA	19	RasC	Normal	0.0887059263292479
Trans-2-enoyl-CoA reductase, mitochondrial OS=Dictyostelium discoideum GN=mecr PE=3 SV=1	sp|Q54YT4|MECR_DICDI	39	NA	17	RasC	Normal	-0.0549185225737363
40S ribosomal protein SA OS=Dictyostelium discoideum GN=rpsA PE=1 SV=1	sp|Q55BY1|RSSA_DICDI	27	NA	18	RasC	Normal	-0.230459515677384
60S ribosomal protein L7 OS=Dictyostelium discoideum GN=rpl7 PE=1 SV=3	sp|P11874|RL7_DICDI	28	NA	19	RasC	Normal	-0.0549185225737363
50S ribosomal protein L15.	sp|P02413|RL15_ECOLI	15	NA	16	RasC	Normal	0.0727476542289163
6-phosphogluconate dehydrogenase, decarboxylating OS=Dictyostelium discoideum GN=gnd PE=3 SV=1	sp|Q8TA03|6PGD_DICDI	54	TRUE	17	RasC	Normal	-0.00704370627274154
Probable pyridoxine biosynthesis protein pdx1 OS=Dictyostelium discoideum GN=pdx1 PE=1 SV=1	sp|Q54J47|PDX1_DICDI	33	NA	19	RasC	Normal	-0.270355195928212
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0190795 PE=4 SV=1	tr|Q55CE9|Q55CE9_DICDI	61	TRUE	18	RasC	Normal	0.0567893821285848
Probable aconitate hydratase, mitochondrial OS=Dictyostelium discoideum GN=aco2 PE=3 SV=1	sp|Q54XS2|ACON_DICDI	84	NA	16	RasC	Normal	-0.334188284329539
Probable acetyl-CoA acetyltransferase OS=Dictyostelium discoideum GN=DDB_G0271544 PE=2 SV=1	sp|Q86AD9|THIL1_DICDI	43	TRUE	17	RasC	Normal	-0.214501243577052
Ubiquitin-like modifier-activating enzyme 1 OS=Dictyostelium discoideum GN=uba1 PE=3 SV=1	sp|Q55C16|UBA1_DICDI	114	NA	15	RasC	Normal	-0.390042236680699
Major vault protein beta OS=Dictyostelium discoideum GN=mvpB PE=1 SV=1	sp|P54659|MVPB_DICDI	95	TRUE	19	RasC	Normal	-0.773040767088657
Hyaluronan/mRNA binding family protein OS=Dictyostelium discoideum GN=DDB_0187793 PE=4 SV=1	tr|Q54JD4|Q54JD4_DICDI	29	NA	18	RasC	Normal	-0.118751610975063
30S ribosomal protein S3.	sp|P0A7V3|RS3_ECOLI	26	NA	15	RasC	Normal	0.0647685181787506
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0188190 PE=1 SV=1	tr|Q54I73|Q54I73_DICDI	172	TRUE	15	RasC	Normal	0.000935429777424247
