									Exclusive Unique Peptide Count	Exclusive Unique Peptide Count	Exclusive Unique Peptide Count	Exclusive Unique Peptide Count	Exclusive Unique Peptide Count	Exclusive Unique Peptide Count	Exclusive Unique Peptide Count	Exclusive Unique Peptide Count	Exclusive Unique Peptide Count	Exclusive Unique Peptide Count	Exclusive Unique Peptide Count	Exclusive Unique Peptide Count	Exclusive Unique Peptide Count	Exclusive Unique Peptide Count	Exclusive Unique Peptide Count	Exclusive Unique Peptide Count
EDM_Experiments_combined									G-Beta-GST-PO_LCMS1	G-Beta-GST-PO_LCMS1	Ga1-GST_PO1_ESI-FTMS	Ga2_starv_PO	Ga2_veg_PO	Ga4_PO	Galpha8	KP_RapA-GST_PO1	KP_RapA_control	Rac1	RasB	RasC-GST-PO	RasG-GST-PO	RasG-S17N-GST-PO	Ric8_PO1	Roco4_PO1
#	Visible?	Starred?	Identified Proteins (2302)	Accession Number	Alternate ID	Molecular Weight	Protein Grouping Ambiguity	Taxonomy	Gbeta1_normal	Gbeta2_normal	Galpha1_normal	Galpha2_starv	Galpha2_normal	Galpha4_normal	Galpha8_normal	RapA_normal	RapA_control	Rac1_normal	RasB_normal	RasC_normal	RasG_normal	RasG-S17N_normal	Ric8_normal	Roco4_background
1	true	Empty	GST-part	GST		26 kDa	true	unknown	12	13	22	39	17	44	17	31	0	41	39	50	68	56	51	28
2	true	Empty	Glutathione S-transferase domain-containing protein OS=Dictyostelium discoideum GN=efa1G PE=4 SV=1	tr|B0G141|B0G141_DICDI		47 kDa	true	unknown	44	65	24	4	38	72	27	68	4	19	18	85	10	76	44	85
3	true	Empty	Trypsin precursor	gi|136429|sp|P00761|TRYP_PIG		24 kDa	true	unknown	19	19	3	9	7	18	9	5	2	8	10	11	11	8	7	18
4	true	Empty	Ras-like protein rasG OS=Dictyostelium discoideum GN=rasG PE=1 SV=1	sp|P15064|RASG_DICDI		21 kDa	true	unknown	7	8	7	8	5	5	11	3	0	11	6	46	70	23	7	9
5	true	Empty	Major actin OS=Dictyostelium discoideum GN=act1 PE=1 SV=2	sp|P07830|ACT1_DICDI		42 kDa	true	unknown	19	57	21	13	53	50	43	15	14	47	21	30	5	22	38	28
6	true	Empty	keratin 1, type II, cytoskeletal - human	gi|7428712|pir||KRHU2		65 kDa	true	unknown	27	31	16	21	15	25	27	12	7	25	18	14	14	19	18	25
7	true	Empty	Putative actin-22 OS=Dictyostelium discoideum GN=act22 PE=3 SV=1	sp|Q553U6|ACT22_DICDI		42 kDa	true	unknown	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0
8	true	Empty	Putative glutathione S-transferase alpha-2 OS=Dictyostelium discoideum GN=gsta2-1 PE=1 SV=1	sp|Q556G3|GSTA2_DICDI		23 kDa	true	unknown	35	36	11	5	21	27	11	5	2	56	20	17	14	13	14	48
9	true	Empty	Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0184177 PE=4 SV=1	tr|Q54DU0|Q54DU0_DICDI		49 kDa	true	unknown	1	1	8	26	7	5	0	0	0	3	0	0	0	40	93	10
10	true	Empty	Keratin, type I cytoskeletal 9	gi|81175178|sp|P35527|K1C9_HUMAN		62 kDa	true	unknown	36	37	12	27	10	32	16	8	5	18	16	14	13	21	16	20
11	true	Empty	Chaperone protein dnaK (Heat shock prote	sp|P0A6Y8|DNAK_ECOLI		69 kDa	true	unknown	7	11	49	84	26	126	12	9	7	5	41	19	39	21	23	27
12	true	Empty	Guanine nucleotide-binding protein alpha-2 subunit OS=Dictyostelium discoideum GN=gpaB PE=1 SV=3	sp|P16051|GPA2_DICDI		41 kDa	true	unknown	2	1	1	44	18	1	1	0	0	2	2	0	1	8	7	0
13	true	Empty	Keratin, type I cytoskeletal 10	gi|547749|sp|P13645|K1C10_HUMAN		60 kDa	true	unknown	26	34	15	24	16	38	37	12	9	26	17	17	15	22	17	42
14	true	Empty	60 kDa chaperonin (Protein Cpn60) (groEL	sp|P0A6F5|CH60_ECOLI		57 kDa	true	unknown	12	11	22	52	27	36	8	8	0	12	22	16	13	17	6	16
15	true	Empty	Keratin, type II cytoskeletal 2 epidermal	gi|547754|sp|P35908|K22E_HUMAN		66 kDa	true	unknown	29	34	18	22	13	36	47	9	8	25	19	21	19	23	29	56
16	true	Empty	Elongation factor 1-alpha OS=Dictyostelium discoideum GN=eef1a1 PE=1 SV=2	sp|P18624|EF1A_DICDI		50 kDa	true	unknown	19	25	4	1	16	24	8	16	1	39	10	24	5	19	20	21
17	true	Empty	Elongation factor 1-beta OS=Dictyostelium discoideum GN=efa1B PE=1 SV=1	sp|Q9GRF8|EF1B_DICDI		24 kDa	true	unknown	25	30	15	5	17	27	2	8	0	13	10	24	15	38	17	42
18	true	Empty	Discoidin-2 OS=Dictyostelium discoideum GN=dscE PE=1 SV=1	sp|P42530|DIS2_DICDI		29 kDa	true	unknown	36	44	19	10	16	14	18	0	0	28	9	22	13	22	17	25
19	true	Empty	Heat shock cognate 70 kDa protein 1 OS=Dictyostelium discoideum GN=hspB PE=1 SV=2	sp|P36415|HS7C1_DICDI		70 kDa	true	unknown	29	33	37	5	31	30	41	20	13	49	20	28	25	24	8	37
20	true	Empty	Calcium-dependent cell adhesion molecule 1 OS=Dictyostelium discoideum GN=cadA PE=1 SV=1	sp|P54657|CAD1_DICDI		24 kDa	true	unknown	17	17	20	8	17	17	29	0	0	24	7	9	1	9	26	20
21	true	Empty	Actin-17 OS=Dictyostelium discoideum GN=act17 PE=3 SV=1	sp|Q554S6|ACT17_DICDI		42 kDa	true	unknown	2	2	0	0	2	2	0	0	0	0	0	2	0	0	0	0
22	true	Empty	Putative glutathione S-transferase alpha-3 OS=Dictyostelium discoideum GN=gsta3 PE=1 SV=1	sp|Q54VI4|GSTA3_DICDI		24 kDa	true	unknown	21	21	15	3	12	22	10	7	3	25	14	14	11	15	6	10
23	true	Empty	Putative glutathione S-transferase alpha-1 OS=Dictyostelium discoideum GN=gsta1 PE=1 SV=1	sp|Q55FF3|GSTA1_DICDI		23 kDa	true	unknown	29	29	8	0	7	8	9	2	1	18	7	8	5	13	7	13
24	true	Empty	Heat shock cognate 70 kDa protein 2 OS=Dictyostelium discoideum GN=hspE-1 PE=1 SV=1	sp|Q557E0|HS7C2_DICDI		70 kDa	true	unknown	12	16	13	1	18	17	18	8	3	21	15	10	14	15	2	15
25	true	Empty	Ras-like protein rasB OS=Dictyostelium discoideum GN=rasB PE=1 SV=1	sp|P32252|RASB_DICDI		22 kDa	true	unknown	3	3	1	0	2	2	5	0	0	1	52	1	0	0	4	4
26	true	Empty	Actin-18 OS=Dictyostelium discoideum GN=act18 PE=3 SV=3	sp|P07828|ACT18_DICDI		43 kDa	true	unknown	0	1	4	1	4	7	5	1	2	3	0	5	2	2	3	1
